Category_1,Category_2,Ordinal_1,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Target
B,X,,1.03,-8.69,-1.728,5.246,0.6753,3.764,2.143,-2.025,1.211,1.864,,,106.7
A,X,Medium,2.947,-1.487,2.14,,0.6587,-1.931,0.0734,-0.2842,2.38,-0.7183,-5.05,-2.762,71.7
A,Y,Medium,-1.431,-1.861,-0.4363,-0.3496,-0.3882,-4.49,0.1954,-1.495,2.416,-1.505,,10.62,57.4
B,X,Medium,3.537,1.609,0.2009,3.176,2.275,-1.656,0.3438,-3.062,-0.71,-2.484,0.7036,6.29,58.5
A,X,Low,0.4438,-1.263,0.072,-1.332,0.4402,2.17,-0.1202,-1.421,-0.3547,2.549,-1.0205,-0.2075,13.58
C,X,Low,-1.552,5.32,1.472,-1.214,2.066,-1.309,1.721,-0.293,-0.6626,-1.042,1.803,-4.297,84.2
A,X,Medium,-0.845,-0.289,0.366,-2.729,1.067,1.5625,0.7188,2.86,0.54,-4.293,-0.1525,3.893,62.53
,X,Medium,5.688,2.48,-0.4512,2.291,1.144,1.158,0.707,,1.583,-0.263,-2.59,1.397,17.94
B,Y,Low,-0.7114,1.019,1.786,-2.889,1.038,-2.115,0.6357,-2.871,1.055,4.15,0.5815,,10.125
,X,High,-2.734,1.27,1.688,-2.678,1.792,1.3955,2.38,3.049,0.2686,-0.2815,4.56,3.77,49.53
B,X,High,-0.6895,-0.74,-0.858,4.02,0.3403,0.5513,-0.4775,-2.922,3.275,1.376,3.668,,89.5
B,Y,Medium,1.731,5.203,-0.53,-2.305,3.2,-2.03,0.7593,-0.5054,1.182,-1.617,-4.082,5.348,-1.541
C,X,Medium,-3.678,-0.648,1.7,-2.3,0.8164,3.201,1.006,-2.992,0.0729,-0.429,2.334,3.994,99.5
C,X,Low,-1.321,-3.115,0.6494,-0.4087,-0.369,-2.484,1.602,0.2391,1.374,0.2517,-0.9272,6.086,86.2
A,Y,Medium,0.11426,-0.9355,0.5645,0.378,0.2069,-0.8267,0.8726,1.852,0.5576,-3.666,0.915,0.768,94.5
B,Y,Medium,1.154,-0.6562,0.67,-0.668,0.1902,0.3486,1.6,-2.223,-0.3223,-2.799,-1.341,3.832,59.22
B,Y,Medium,-3.254,1.854,0.348,-1.282,0.04352,3.023,-0.7803,-1.474,-1.383,3.045,0.911,-0.792,11.44
B,X,Medium,-0.8843,4.258,2.94,0.8633,3.312,,0.867,1.8955,0.3562,0.1527,1.169,1.857,65.94
A,Y,Low,1.153,3.984,-0.02635,-0.03035,0.1597,-2.145,2.566,1.872,1.626,-0.6006,-1.199,-4.586,36.53
C,X,Low,0.1511,2.072,-4.555,1.334,0.808,0.007236,0.3823,-0.9927,0.07916,-0.51,0.6987,-5.73,43.12
C,Y,,0.2996,0.1311,-2.957,2.885,1.892,3.8,0.412,-2.686,1.683,-2.49,2.54,,88.5
B,X,Low,3.535,-2.723,0.2761,0.952,-0.0708,0.3662,1.068,3.703,-0.001421,0.637,1.791,4.207,30.52
C,Y,High,-3.76,0.5273,-1.276,-0.177,0.756,-3.047,1.564,-1.789,0.52,-0.2361,-1.932,-6.637,142.1
B,Y,Medium,0.1302,4.26,-0.649,1.21,1.608,,-0.9683,4.516,1.326,4.203,,3.535,-32.2
C,X,High,-2.008,2.81,3.072,2.85,0.2019,2.22,0.865,-1.186,-0.02325,0.2426,-1.741,-0.475,117.4
B,X,High,-1.473,-0.03543,-1.857,-1.549,-0.893,-0.1243,1.672,-1.04,2.158,-2.248,-0.7837,-2.371,81.75
A,X,Medium,-2.973,3.861,,-1.364,0.2803,1.67,4.004,-2.75,0.3877,-1.607,2.62,0.205,73.9
B,X,Medium,-0.5034,-2.281,-1.8125,-2.305,0.542,-0.6733,2.037,-1.513,1.343,-2.322,6.586,-0.976,78.94
B,X,Medium,0.624,3.402,1.041,2.14,0.6406,1.569,1.727,-2.404,-0.1624,-4.34,-0.1538,0.825,82.56
A,Y,Medium,0.581,-1.202,-0.2384,-4.164,-1.06,-1.009,2.916,-0.9507,0.2236,1.808,0.3188,3.516,-13.72
C,Y,Medium,0.00443,-3.99,-3.543,1.926,0.702,4.72,-0.0388,-0.8657,0.611,2.938,2.969,-4.29,61.16
C,X,Medium,1.025,0.742,1.229,-4.473,,0.08527,0.8994,1.282,2.533,2.113,1.396,-3.049,3.326
B,Y,Low,-0.0816,2.664,2.217,0.8213,-1.886,2.457,0.861,1.4795,-0.32,0.4946,1.713,1.053,38.72
A,Y,High,-3.062,-2.861,0.3894,0.5015,0.5366,-1.897,0.3723,-1.317,1.34,-1.205,0.508,-0.2903,120.06
A,X,Low,-5.336,0.3982,-0.3213,0.205,1.949,-2.615,2.018,-1.739,-0.6157,-0.996,4.082,-0.0953,150.4
C,,Medium,0.215,3.996,1.012,-0.484,,0.2966,-0.1935,3.758,1.92,2.607,,6.08,-20.77
A,X,Medium,3.186,0.5645,2.84,0.1815,0.0858,1.353,,5.016,,3.664,1.722,-0.4456,-6.645
C,X,High,4.074,,2.53,-0.5127,0.477,-3.438,0.646,0.413,-0.5693,-2.363,4.16,-1.766,104.0
B,X,Medium,1.713,1.088,-0.999,2.55,0.0656,-0.8296,-0.9106,1.561,0.8706,-0.6826,4.34,-0.802,30.28
B,Y,High,-0.8057,0.899,-1.492,2.473,-0.5176,2.008,3.113,-0.5522,3.307,3.135,0.474,-3.906,61.25
C,Y,Medium,3.04,-0.0945,1.892,1.249,0.383,2.375,0.6187,4.926,0.7812,1.947,-1.182,3.107,4.28
B,X,Low,1.135,-2.656,-0.763,1.718,-1.319,-0.4712,1.757,0.4138,0.03326,1.581,6.086,6.133,51.47
B,Y,Medium,1.3,2.47,0.957,0.1392,3.395,3.379,-0.5747,1.27,0.941,3.982,-4.58,2.584,-36.22
C,X,Medium,-0.2101,-2.645,-0.9004,-2.383,-2.602,-0.685,2.018,6.4,0.931,0.1073,5.258,0.1271,42.72
C,X,High,-0.2155,1.339,-1.188,2.592,1.632,-0.3262,0.0638,-2.57,0.735,0.703,1.951,6.89,71.1
C,X,Low,-2.535,-1.361,0.2477,-1.084,2.643,-1.327,1.8545,-2.55,1.4375,3.941,-2.102,1.704,78.9
A,Y,High,4.26,-0.749,-1.387,1.501,0.634,1.634,1.309,6.46,1.461,-0.856,-0.7515,2.498,-44.75
B,X,Low,1.952,-1.855,-1.984,-2.414,-0.2234,-3.541,0.424,1.703,-1.083,,-0.5586,0.1351,-19.92
C,Y,Medium,,-2.045,0.7163,1.143,3.104,0.2578,1.036,2.291,0.02496,2.102,-1.051,2.145,18.4
C,,High,4.098,0.886,-1.108,-5.848,1.918,0.881,2.285,0.6323,0.1142,-0.4404,2.867,-1.363,-36.0
C,X,High,0.2451,1.621,0.3323,1.833,-0.8,,-0.126,1.531,1.153,1.346,-1.022,-1.529,71.94
B,X,Low,0.05182,0.2734,-0.1786,-0.578,2.127,2.79,0.271,1.647,0.8604,-0.2188,-1.742,2.25,16.14
C,X,Medium,-3.291,-1.298,0.1669,0.2778,-2.11,1.297,0.2484,-2.307,0.1539,-1.473,0.3513,4.348,98.9
A,Y,Low,-0.03882,-2.654,-0.04007,-3.588,-0.1891,-0.1627,,-1.316,0.2578,0.4656,0.817,-1.025,40.47
A,X,Medium,-1.93,1.205,0.501,0.5073,-0.2307,0.692,2.568,2.342,-0.1061,3.016,-4.477,5.168,9.28
A,X,Low,-1.457,-2.4,1.081,,-1.082,-0.6035,,2.416,0.8247,3.12,0.001453,-2.082,43.0
C,Y,Low,-2.79,-0.321,3.775,-0.0774,-2.07,2.979,2.127,2.406,1.163,3.156,-1.905,-0.69,71.4
,Y,,1.215,-0.4749,-1.822,0.1726,-1.804,4.34,0.8564,-2.727,0.979,-0.973,-1.391,2.766,10.21
,Y,High,-0.1244,,-0.1692,1.722,2.752,-2.387,1.139,1.747,-0.724,-5.65,0.946,-0.072,168.6
A,Y,Medium,-1.333,-2.889,2.227,-2.89,3.082,-2.027,-0.345,2.973,0.623,-2.412,3.137,-8.26,125.1
B,Y,Medium,,-0.1144,0.4204,1.346,1.311,0.6523,2.156,0.5264,0.4912,-0.02907,1.947,-4.2,98.75
C,X,Low,2.367,-0.2437,-0.06046,5.168,0.8433,1.228,1.321,2.885,0.3042,0.9375,-0.57,,50.03
B,Y,Low,-3.455,-3.0,3.357,-0.879,-0.1652,1.416,0.11975,0.231,,0.8833,6.965,1.236,99.8
C,Y,Medium,-2.057,1.842,1.054,1.6045,-0.3574,0.2012,2.088,0.2493,-0.252,,2.95,1.274,106.25
C,,Medium,0.2085,-3.229,-2.568,1.635,-0.7393,,-0.6704,5.137,1.0,-3.191,-4.766,,57.0
C,X,Medium,1.999,1.142,2.182,-1.5205,1.346,0.269,-0.853,3.432,,-1.583,-2.275,0.1785,42.03
B,Y,Low,1.568,-2.787,1.059,0.9395,1.151,-3.28,0.1015,2.826,0.3418,-4.34,5.566,-0.06082,101.25
C,Y,Medium,3.277,3.633,-2.273,3.45,0.231,0.639,0.498,-0.756,0.3608,1.113,1.499,-3.674,18.45
B,Y,Medium,0.9966,5.457,2.21,0.6343,-1.848,0.2339,2.46,1.618,1.098,3.154,-3.293,-2.271,10.04
B,X,Low,0.0959,1.831,-1.121,-0.1371,1.183,-3.557,0.5576,1.745,0.2323,2.488,-1.632,2.812,4.867
C,Y,Medium,3.473,-2.438,-2.174,,,-2.002,1.012,-2.473,-1.184,-0.006287,5.742,-3.926,77.2
A,Y,High,-0.2573,1.864,-2.35,-0.8945,-0.122,0.06824,1.691,0.8574,-1.0205,-2.725,1.535,3.459,0.7427
B,Y,Low,-4.836,-2.418,-0.3398,-4.395,0.612,-7.465,0.93,-0.4238,-1.73,-2.535,3.197,-1.446,115.75
A,X,Low,2.37,1.94,4.08,-1.701,3.162,-0.7744,1.182,-1.103,1.042,2.99,6.094,,34.4
C,Y,High,-2.605,-3.29,4.746,-0.9824,1.714,1.337,1.142,3.025,,1.018,-1.69,0.128,124.6
C,X,High,3.53,-2.27,0.322,1.385,-0.1804,1.264,1.861,2.21,0.4604,0.6543,0.6807,1.67,43.4
A,X,Low,5.38,1.551,-0.542,-2.184,-0.09485,-3.727,,-1.48,,0.6816,-3.291,-1.055,-29.75
C,,,0.3408,-4.086,-1.032,-2.842,2.256,0.7646,0.954,2.19,1.74,-0.132,0.2013,2.256,32.66
C,Y,Medium,-0.2725,2.242,-0.8564,-1.467,-0.9336,-1.18,-0.3223,3.086,,-4.406,2.115,4.652,21.16
A,X,,2.246,-3.262,-1.611,,-1.081,-0.1656,1.243,3.51,0.907,-0.336,,-2.936,17.28
A,X,Low,0.9814,-1.385,-3.87,0.616,-0.1418,2.195,0.6245,0.653,1.64,-2.336,4.32,-2.09,19.1
B,Y,Low,1.061,2.04,-1.862,-1.167,-1.9795,0.9497,-0.569,4.664,0.0729,-4.1,-2.307,-2.758,-0.1362
A,X,Low,-1.05,3.72,-1.313,-3.09,-1.878,4.914,1.192,-2.137,0.0743,3.447,,3.434,-70.4
B,Y,Medium,4.86,-0.3481,-2.08,0.703,0.2087,4.086,0.702,0.1592,0.0992,2.742,1.525,-1.02,-62.56
B,X,Low,0.65,-0.883,0.405,-1.725,0.8896,-7.414,1.713,0.2864,0.9653,,-0.8623,0.4795,96.5
B,X,,-1.537,3.996,0.02122,-1.259,-1.662,0.4138,1.31,1.739,1.207,1.31,-2.73,1.971,6.62
C,Y,High,,-0.3083,-0.1221,,-0.13,-0.8486,1.043,-0.1521,0.2109,4.133,-0.4573,4.984,-11.21
,X,Medium,-1.132,-3.598,1.036,-1.676,-0.5225,1.121,1.874,4.152,1.957,1.566,1.648,-2.096,54.88
B,Y,High,-3.35,1.443,,3.885,0.66,4.027,0.3206,2.234,2.693,3.89,2.086,2.564,61.12
C,,Medium,-0.2642,-2.71,-0.7437,-0.7676,-0.715,1.406,,,0.8564,1.369,-0.01204,6.81,27.06
B,Y,High,2.21,1.536,0.5786,-3.596,0.4246,0.9795,-0.4236,-1.796,-1.89,4.855,-2.613,0.983,-65.25
A,Y,High,-2.771,-4.355,-0.5317,-1.409,-0.6895,0.564,2.658,-1.348,1.191,1.299,1.965,3.387,80.94
B,Y,Medium,-4.113,2.707,-0.99,-2.15,1.181,0.08685,1.135,1.501,0.671,-2.23,4.547,4.113,44.75
B,Y,Medium,1.395,1.324,0.0598,-2.807,4.87,-2.992,1.581,3.291,-0.08813,5.0,-0.683,3.887,-43.56
B,Y,Medium,-2.588,-1.937,2.555,0.845,3.27,-5.91,1.145,0.7764,1.487,1.506,0.7656,4.926,128.8
A,X,Low,0.558,-0.8555,3.22,-2.059,-0.8765,2.258,0.522,4.95,0.9946,0.5312,3.729,5.773,12.33
C,Y,Low,0.6772,-0.85,-3.082,-0.9526,0.576,-0.167,0.3208,-1.296,1.989,1.826,-6.344,3.096,-1.903
C,X,Low,-3.496,-0.2573,-3.152,-1.142,0.6226,-1.0,0.73,3.213,1.787,0.0971,5.953,3.23,32.84
C,Y,Medium,-2.516,0.694,-0.671,-3.047,-0.393,-1.06,1.665,4.254,1.516,-0.0393,-2.922,,42.72
C,X,Low,0.404,0.4604,-0.6655,0.1101,-2.533,-6.79,0.926,-4.535,-1.49,,-2.377,3.822,122.56
A,Y,Medium,-2.57,0.3445,-0.524,0.5396,,2.021,1.084,-3.248,1.137,7.086,-2.814,,-2.168
B,Y,Medium,1.824,0.4495,-0.327,-0.595,0.1984,-3.043,-1.138,0.398,1.895,1.351,3.334,2.354,-0.639
B,Y,High,1.1,-0.1183,1.552,-1.075,2.684,2.043,-0.488,,-0.0824,2.133,-5.953,-0.4167,28.03
A,X,Medium,1.6045,-0.4287,-0.5474,2.75,2.465,-2.559,1.288,-2.33,1.417,-2.701,-2.854,0.6343,119.0
C,X,Medium,-1.94,-0.7935,0.2913,3.305,1.177,2.38,1.646,1.899,-0.968,-0.487,-0.5117,-0.1742,124.8
A,X,High,0.6846,0.191,-1.797,0.5503,-0.478,-0.12354,1.955,-1.155,0.1214,,-4.39,3.559,8.555
A,X,Medium,6.875,0.2491,0.2922,1.102,,0.9355,,2.191,,4.04,1.133,-0.4443,-41.72
B,X,Low,-2.652,-1.337,-1.067,0.4727,0.7793,-1.263,-0.246,0.3235,1.175,-1.797,-1.37,0.876,76.94
B,Y,Medium,1.776,0.3062,0.2002,-0.002207,2.656,0.209,0.2905,0.9033,0.662,0.4248,-1.983,5.457,18.9
A,Y,Low,2.584,2.746,-0.7524,-4.895,0.2605,2.639,-0.1218,-1.818,0.407,-2.61,-2.414,5.832,-56.75
,X,Medium,3.18,2.271,,-0.7446,-0.7695,,0.813,-2.246,1.58,-3.998,1.845,3.814,45.97
A,Y,Medium,3.773,2.201,0.4778,2.072,-1.825,-0.1395,0.3794,1.564,1.249,2.943,-1.225,0.8223,-38.0
C,Y,Medium,1.446,2.879,1.555,0.4626,0.566,-0.957,0.6304,4.53,-0.1862,4.086,-0.1637,0.01304,-26.48
C,Y,Medium,1.205,0.5884,-1.074,2.785,-0.3323,2.205,0.845,-1.224,1.065,1.871,-0.7217,-0.679,45.5
B,X,High,-4.754,-0.8833,-0.6245,,-1.928,-6.027,-0.7295,-1.593,0.2456,-0.1586,-0.4612,-1.314,97.56
C,Y,Medium,-1.719,1.315,2.066,-0.801,1.449,-0.0004292,-1.0625,1.489,1.361,1.529,1.443,5.86,33.94
A,Y,Low,,3.756,4.793,-0.558,0.732,2.963,-0.1976,0.215,0.4302,0.6104,2.117,1.636,80.25
B,X,Low,0.283,1.007,1.146,-0.9673,-0.4126,-1.684,0.852,4.65,0.725,-0.4792,3.986,-2.56,61.94
C,Y,Medium,-2.658,-1.002,-0.1735,0.1797,-3.236,-3.26,0.598,0.9727,2.004,-0.758,,1.85,111.4
B,X,Medium,-2.588,0.3962,0.1432,-0.6543,3.486,-0.385,0.9814,3.318,0.1152,2.346,1.646,5.84,15.02
C,X,Low,,2.139,0.764,0.4285,0.5024,5.094,-0.149,2.07,-0.2908,0.1371,-6.47,-0.3303,34.06
A,X,Medium,-2.412,0.4146,5.184,-0.0323,0.1512,0.7676,2.816,4.035,1.724,3.6,-2.861,6.965,50.56
B,X,Low,1.336,-1.471,0.1473,5.23,0.971,-2.281,0.651,0.6904,-1.619,2.04,1.904,3.234,54.38
A,X,Low,-3.22,1.035,-3.88,0.6265,1.914,-1.146,-0.759,0.9434,1.402,1.754,-1.464,2.312,19.8
A,Y,Low,-0.0195,1.057,1.322,1.128,0.618,-1.926,1.743,-1.314,1.793,-0.4243,5.766,0.4363,95.8
C,Y,Low,-5.23,-5.395,4.1,3.266,0.9194,2.385,0.7524,-0.0749,1.042,1.091,0.9077,2.98,183.6
C,X,Medium,3.383,0.868,0.3215,0.11725,-0.5625,1.214,-0.1907,1.214,0.763,1.917,-0.1874,6.086,-29.75
C,Y,Medium,0.824,1.012,2.879,-1.041,-1.342,0.11176,1.673,5.867,0.3923,1.677,-1.748,0.757,11.95
A,Y,Medium,-0.388,-1.891,2.566,-1.009,-1.93,-3.896,2.287,-0.3713,1.143,-0.02864,4.32,-2.209,100.0
B,Y,Medium,3.836,-0.908,1.171,-1.491,1.276,-0.6987,1.869,-3.654,1.479,,-0.6943,-1.509,104.94
B,Y,Medium,-2.46,4.395,0.5977,,,,1.914,1.037,0.02602,4.19,1.559,-2.164,47.8
B,Y,High,0.9946,1.492,-0.2214,-1.311,3.256,-1.26,2.275,3.984,1.768,-1.892,-0.5283,2.08,39.84
B,X,Medium,-2.262,1.972,3.809,-3.527,0.8286,1.46,1.363,-3.285,1.95,2.38,-2.068,0.25,68.9
B,X,Low,0.2722,-1.858,1.126,-0.1913,,-0.6157,1.506,-0.191,-1.8,1.641,-1.082,-1.395,77.94
B,X,High,0.9053,0.832,0.4067,-0.512,0.3254,5.773,-0.821,1.553,1.29,0.7544,-0.2666,2.588,-19.38
C,Y,Medium,-2.3,2.555,1.001,-1.741,1.827,-2.217,1.425,,1.355,0.436,1.803,-0.4465,103.3
B,Y,Medium,-1.989,-1.46,2.639,-0.4495,-1.829,1.465,-0.1503,-2.521,-0.6016,1.333,4.117,0.7705,81.8
C,X,Medium,2.635,-2.543,0.3613,0.2162,-1.4,-5.9,1.397,1.457,0.2898,-1.451,-0.0851,-1.383,76.75
C,X,Low,-0.859,-2.857,-0.5723,0.948,0.1339,-3.75,2.799,1.81,1.344,0.8193,,1.188,104.6
B,X,High,0.1058,0.7095,-0.1836,3.438,-1.079,-1.663,1.941,1.904,0.05658,-4.434,3.193,0.8413,125.9
C,Y,Low,3.588,0.03882,1.728,-0.802,2.73,,2.053,-0.9497,1.005,0.1829,5.008,3.389,44.62
B,Y,Medium,,-0.0719,2.04,-0.3276,0.01839,0.355,0.946,0.91,-0.582,0.0954,2.967,1.775,27.78
B,X,Low,1.782,2.562,0.391,5.61,-0.283,-0.912,0.2607,0.7334,,-2.25,,2.953,73.9
A,Y,Low,-2.793,-0.961,-2.08,-1.92,-1.017,0.5767,2.488,1.38,0.411,0.3884,0.2174,-2.387,31.42
B,Y,Low,-1.8125,-0.4756,2.35,0.645,-1.969,-1.612,-0.2742,3.693,1.766,,-2.088,-2.469,75.2
B,X,Low,-1.323,-2.48,,-0.754,-1.231,-1.52,-0.754,1.044,3.008,0.684,0.7256,0.9214,52.12
A,X,Low,1.718,-0.5664,2.084,2.682,-0.432,0.784,3.053,-1.413,1.086,-1.28,-0.9556,-2.834,135.1
C,X,Low,-1.469,1.209,0.867,2.033,0.593,0.565,-0.3804,0.7334,2.342,0.2063,-4.14,5.56,78.75
A,X,Low,2.201,,1.572,-0.3376,3.11,2.092,1.804,0.4688,0.7163,6.4,2.998,-3.398,7.414
B,X,Medium,0.545,-0.03827,-0.458,,-1.375,-0.888,1.138,3.875,1.642,1.883,0.6836,1.394,45.53
,X,Low,0.2064,3.953,,-0.874,2.076,-3.209,-0.09595,-3.646,0.1323,3.707,3.447,2.21,29.7
B,X,Low,-1.945,-5.297,0.8413,,,-5.156,0.4285,,-0.7676,-1.467,-4.06,-1.697,126.0
C,,Low,1.15,-0.2737,1.368,-1.147,-0.9053,-1.521,1.558,1.729,0.664,0.4087,4.55,1.874,60.6
C,X,Medium,0.125,6.24,3.08,0.1721,-1.113,-1.61,1.475,,2.658,2.59,-0.956,1.495,54.62
B,X,Medium,-0.6147,,1.171,-1.11,2.742,-4.504,1.691,2.572,0.749,0.2467,-2.143,-0.1809,84.4
B,Y,Medium,-5.273,2.396,-1.047,2.975,-2.55,-6.523,1.115,2.31,0.9185,-0.784,,0.5728,120.06
B,Y,High,2.297,0.10205,2.635,-1.359,0.1637,7.766,0.603,,0.892,0.96,-4.977,0.594,-8.35
C,X,High,-2.14,0.792,-3.06,1.438,-2.15,1.403,1.215,0.575,-0.1254,-1.72,2.13,3.555,61.9
C,X,Low,1.27,1.389,-1.854,,0.6865,-1.202,-0.2072,0.7886,2.56,,-0.10504,-2.182,34.75
A,X,Medium,3.422,2.07,0.662,0.2206,-2.598,2.074,0.394,0.1268,-1.146,-0.04965,-1.558,6.184,-38.44
A,X,High,0.7666,-1.072,0.4722,2.178,1.468,-1.017,1.665,5.24,0.3699,0.07965,0.3435,3.096,53.44
,X,Low,0.01927,-3.38,0.267,-0.9287,1.975,-2.027,,3.09,0.9746,,1.025,-1.369,119.4
B,Y,Medium,-2.758,-0.753,-1.482,-4.125,3.209,-0.661,0.3193,-0.2267,-0.9814,-0.00916,7.883,-3.373,53.28
B,X,Low,1.227,-1.805,-1.748,2.746,0.522,-4.305,0.577,-0.05573,1.108,,1.096,2.379,33.72
B,,Medium,-2.691,-0.2207,0.4265,-0.0351,-1.207,-1.382,1.421,0.9443,0.747,0.8936,0.652,0.609,55.7
A,Y,Medium,1.74,4.6,0.9805,1.196,3.24,2.312,1.258,-1.536,-1.145,-1.239,1.205,3.53,33.56
A,X,High,0.0498,-0.565,-0.05554,-0.3257,0.272,-0.3916,0.1293,-0.842,1.583,2.79,4.42,5.51,7.195
B,Y,High,2.047,-0.1239,2.748,-1.196,-2.465,-1.696,1.868,-0.4116,1.665,1.286,5.03,3.084,53.47
C,X,Low,-4.03,0.411,3.508,3.479,-1.182,-0.6494,0.6436,-1.574,-0.5796,-1.426,1.581,1.913,194.9
B,Y,Medium,-4.004,1.827,0.4402,-0.7227,1.729,-3.766,-0.01432,1.364,1.206,-1.433,3.07,-0.0757,85.9
A,Y,High,0.1841,3.188,1.088,1.193,-1.091,0.654,1.246,1.806,0.1761,-1.811,-2.666,0.871,39.28
C,Y,Low,,-0.2642,-0.2676,-0.713,0.3882,2.664,,-6.77,1.118,-0.0748,3.562,5.926,42.06
C,Y,Low,2.502,1.004,0.4905,-1.229,0.8276,-1.2705,1.254,3.672,1.882,-4.22,0.552,-2.436,64.9
C,X,Low,4.87,0.09717,2.012,-0.904,-1.667,-0.2542,2.49,-2.98,,0.4514,,-2.084,51.4
B,,Low,2.246,1.143,1.905,0.2698,2.393,7.906,1.575,5.1,1.866,0.7886,1.537,0.5034,-13.78
B,Y,High,-1.925,-2.693,-0.3022,0.925,-1.622,-4.297,0.1268,4.215,-1.129,1.083,8.77,2.393,63.34
A,Y,High,,4.16,2.701,-0.533,-2.695,-2.717,-0.03275,-0.6826,-1.396,-4.266,-1.251,2.96,47.78
B,Y,Medium,1.813,4.754,1.349,0.4172,1.595,-1.102,-0.6772,1.236,2.084,-1.3545,1.377,-1.172,17.78
A,X,,-0.9033,2.193,,-2.639,2.441,-3.213,0.0682,1.431,1.956,-2.67,1.092,2.44,63.5
A,X,Low,-4.492,3.232,-0.0761,-1.156,0.793,2.902,,-1.076,-0.352,-2.553,-2.715,-1.907,105.7
B,Y,Low,-0.5723,0.3948,0.243,,0.4626,-3.004,-0.8193,,1.377,2.852,1.579,5.07,10.0
C,Y,Medium,-0.2054,3.516,-0.6978,0.4573,-2.4,1.289,1.789,-0.3225,0.4648,-2.871,-0.747,-0.4,64.44
A,Y,Low,2.207,-1.626,3.033,2.096,-1.326,1.705,-0.496,3.852,1.62,0.454,3.143,8.82,3.602
A,,Medium,3.623,-0.07623,-0.0737,-0.02113,-0.2494,1.362,0.3013,1.714,-2.557,2.023,1.237,1.042,-53.62
A,Y,Low,-1.061,-1.8955,1.505,-1.441,2.387,4.152,1.532,0.648,-0.4988,3.738,-3.258,,-17.75
B,X,Low,-0.812,0.1864,-1.343,1.068,2.477,3.479,1.93,,-0.1506,0.2654,-1.061,-0.6675,56.8
A,Y,Low,1.38,1.307,2.768,,2.152,1.537,-0.4087,5.242,-0.2173,0.11334,-3.088,4.21,9.87
B,Y,Medium,-1.753,-2.354,1.068,-0.4836,2.178,1.054,,0.887,0.4875,-1.337,-5.152,1.401,81.1
,X,High,-1.48,2.287,-1.085,-3.08,-0.453,2.273,-0.1992,0.789,-0.02069,1.434,-4.36,-3.156,20.27
B,Y,Low,-2.68,2.004,-0.3708,2.832,0.852,1.524,2.168,-0.1813,-1.406,-0.2947,0.4626,-0.214,76.4
C,X,High,0.3665,-1.063,1.16,0.705,2.49,3.408,2.193,0.784,1.449,,-1.529,4.363,78.9
B,Y,High,-0.524,2.49,0.4595,-2.043,2.043,-2.357,0.6636,3.2,0.4668,-1.246,3.133,2.756,19.39
A,Y,Low,1.638,5.547,0.801,0.7554,2.137,3.723,0.8086,4.42,0.6094,-0.04095,0.727,-2.531,-7.617
A,X,Medium,0.951,-2.672,-1.748,3.006,-1.317,0.3018,1.091,-0.92,,1.983,-1.841,2.857,27.88
B,Y,,-3.207,1.301,3.871,0.02805,0.863,0.9727,0.8364,1.3,0.1451,-3.732,3.13,3.344,120.3
B,Y,High,-2.354,2.93,2.672,2.352,1.801,-0.3206,1.54,-0.914,3.545,0.492,0.592,3.908,116.1
A,X,Medium,0.09283,-0.755,-0.3103,0.672,1.198,-0.701,1.428,-1.832,1.841,-0.2324,1.624,-1.537,76.06
C,Y,Medium,4.734,-2.885,,1.388,,-0.6943,1.297,6.395,0.1746,-4.324,-2.844,1.225,50.22
B,Y,Low,1.773,-0.02332,0.961,2.047,0.07117,0.551,0.02806,4.77,-0.374,-4.63,0.413,-1.865,77.4
A,X,High,0.1367,-3.24,-1.022,-3.307,0.576,-5.492,0.9404,3.676,0.9526,2.387,1.215,,-4.51
A,X,Medium,1.195,0.685,-2.81,-0.627,-1.407,2.203,0.598,1.242,2.35,-1.731,-1.252,-3.068,24.6
B,X,Low,1.235,-1.998,-0.4412,0.7134,0.3726,1.54,0.9946,1.852,0.3906,4.113,-2.334,-1.417,15.39
A,X,High,-1.859,,-1.579,2.432,-0.564,4.277,0.2507,-1.066,1.101,1.873,2.645,1.445,23.36
A,X,Low,-2.025,1.209,,-1.566,-1.726,-3.88,1.608,3.621,0.7056,0.372,-1.883,-0.3684,51.84
C,Y,High,-0.3386,-0.718,0.2499,,1.398,-3.307,1.83,2.861,1.653,-0.188,-0.3926,-1.628,114.7
C,Y,Medium,-1.421,-2.56,2.322,1.037,0.9575,-6.91,2.248,5.812,0.5376,3.281,0.4333,1.044,95.2
C,X,Low,2.17,2.695,3.225,-2.1,-0.1736,0.1372,-0.2402,0.1835,0.753,1.478,-4.176,0.402,18.73
C,Y,Low,2.508,1.78,-2.924,0.8936,-0.372,2.527,0.9507,-1.366,1.125,2.145,4.754,-1.31,-29.62
B,Y,Low,2.117,3.482,-0.2115,2.85,-0.1523,-4.047,1.418,3.17,0.1885,-1.967,-0.142,4.703,48.16
,X,High,0.929,0.8286,-2.436,4.008,-2.13,-2.148,,-0.8364,1.586,0.4617,-1.949,0.1921,62.03
A,Y,Medium,-1.678,-4.242,0.515,2.266,1.409,-3.16,0.8,-1.275,1.074,-3.555,6.652,-0.07294,173.5
